阿姨;āyí;aunt or maid
借;jiè;to borrow or to lend
;;
今天;jīntiān;today
近;jìn;near
;;
进;jìn;to be surnamed
;;
经常;jīngcháng;often
;;
经过;jīngguò;to pass
;;
经理;jīnglǐ;manager
九;jiǔ;nine
久;jiǔ;long (in time)
;;
旧;jiù;old or used
;;
就;jiǜ;at once
;;
举行;jǔxíng;to hold (event)
;;
句子;jùzi;sentence
决定;juédìng;to decide
;;
觉得;juédé;to feel or to think
;;
咖啡;kāfēi;coffee
开;kāi;to drive or to open
;;
开始;kāishǐ;to begin
;;
看;kàn;to look, to read, to watch
;;
看见;kànjiàn;to look or to watch
;;
考试;kǎoshì;exam
可爱;Kě’ài;cute
;;
可能  ;kěnéng;maybe
;;
可以;kěyǐ;can (to be permitted to)
;;
渴;kě;thirsty
;;
刻;kè;quarter (time)
;;
客人;kèren;guest
课;kè;lesson
空调;kōngtiáo;air conditioner
口;kǒu;mouth
哭;kū;to smile or to laugh
;;
裤子;kùzi;pants
块;kuài;counter for money, rocks, chocolate etc.
;;
快;kuài;fast
;;
快乐;kuàilè;happy
;;
筷子;kuàizi;chopsticks
来;lái;to come
;;
蓝;lán;blue
;;
老;lǎo;old (in age)
;;
老师;lǎoshī;teacher
了;le;aspect particle
;;
了解;liǎojiě;to know well  
;;
累;lèi;tired
;;
冷;lěng;cold
;;
离 ;lí;away from
;;
离开;líkāi;to leave
;;
礼物;lǐwù;gift
里;lǐ ;inside
;;
历史;lìshǐ;history
脸;liǎn;face
练习;liànxí;to practice
;;
两;liǎng;two
辆;liàng;for vehicles
;;
邻居;línjū;neighbor
零;líng;zero
六;liù;six
楼;lóu;building or floor
;;
路;lù;road
;;
旅游;lǚyóu;to travel
;;
绿;lǜ;green
;;
妈妈;māma;mom
马;mǎ;horse
马上;mǎshàng;immediately
;;
吗;ma;question particle
;;
买;mǎi;to buy
;;
卖;mài;to sell
;;
慢;màn;slow
;;
忙;máng;busy
;;
猫;māo;cat
帽子;màozi;hat or cap
没;méi;not
;;
没关系;méi guānxi;it’s all right
;;
每  ;měi;every
;;
妹妹;mèimei;younger sister
门;mén;door
米;mǐ;meter
;;
米饭;mǐfàn ;(cooked) rice
面包;miànbāo;bread
面条;miàntiáo;noodle
名字;míngzì;name
明白;míngbai;to understand
;;
明天;míngtiān;tomorrow
拿;ná;to hold or to take
;;
哪/哪儿;nǎ/nǎr;which/where
那/那儿;nà/nàr;that/there
奶奶;nǎinai;grandma
男人;nánrén;man
南;nán;south
;;
难;nán;difficult
;;
难过;nánguò;sad
;;
呢;ne;question particle
;;
能;néng ;can (to be able to)
;;
你;nǐ;you (singular)
年;nián;year
年级;niánjí;grade
年轻;niánqīng;young
;;
鸟;niǎo;bird
您;nín;you (singular/honorific)
牛奶;niúnǎi;milk
努力;nǔlì;studious or hard working
;;
女儿;nǚ’ér ;daughter
女人;nǚrén;woman
爬山;pá shān;to climb mountain
;;
盘子;pánzi;plate
旁边;pángbiān;side
;;
胖;pàng;fat
;;
跑步;pǎo bù;to run
;;
朋友;péngyǒu;friend
啤酒;píjiǔ;beer
票;piào;ticket
漂亮;piàoliang;pretty
;;
苹果;píngguǒ;apple
葡萄;pútáo;grape
普通话;pǔtōnghuà;(standard) Mandarin
七;qī;seven
妻子;qīzi;wife
其实;qíshí;actually
;;
其他;qítā;other
奇怪;qíguài;strange
;;
骑;qí;to ride
;;
起床;qǐ chuáng;to get up
;;
千;qiān;thousand
铅笔;qiānbǐ;pencil
前面;qiánmiàn;front
;;
钱;qián;money
清楚;qīngchu;clear
;;
晴;qíng;sunny
;;
请;qǐng  ;please…
;;
秋;qiū;autumn
去;qù;to do
;;
去年;qùnián;last year
裙子;qúnzi;skirt
然后;ránhòu;then, afterwards
;;
让 ;ràng;to let
;;
热;rè;hot
;;
热情;rèqíng;enthusiastic
;;
人;rén;person or people
认识;rènshi ;to know
;;
认为;rènwéi;to think or to consider
;;
认真;rènzhēn;serious or careful
;;
日;rì;day
容易;róngyì;easy
;;
如果;rúguǒ;if
;;
三;sān;three
伞;sǎn;umbrella
商店;shāngdiàn;shop
;;
上;shàng;on, above or last
;;
上班;shàng bān;to go to work
;;
上网;shàngwǎng;to get online
;;
上午;shàngwǔ;morning
少;shǎo;few
;;
