扉;とびら, ヒ;front door, title page, front page
硫;リュウ;sulphur
赦;シャ;pardon, forgiveness
窃;ぬす.む, ひそ.か, セツ;stealth, steal, secret, private, hushed
泡;あわ, ホウ;bubbles, foam, suds, froth
瑞;みず-, しるし, ズイ, スイ;congratulations
又;また, また-, また.の-, ユウ;or again, furthermore, on the other hand
慨;ガイ;rue, be sad, sigh, lament
紡;つむ.ぐ, ボウ;spinning
恨;うら.む, うら.めしい, コン;regret, bear a grudge, resentment, malice, hatred
肪;ボウ;obese, fat
扶;たす.ける, フ;aid, help, assist
戯;たわむ.れる, ざ.れる, じゃ.れる, ギ, ゲ;frolic, play, sport
伍;いつつ, ゴ;5, 5-man squad, file, line
忌;い.む, い.み, い.まわしい, キ;mourning, abhor, detestable, death anniversary
濁;にご.る, にご.す, ダク, ジョク;voiced, uncleanness, wrong, nigori, impurity
奔;はし.る, ホン;run, bustle
斗;ト, トウ;Big Dipper, 10 sho (vol), sake dipper, dots and cross radical (no. 68)
蘭;ラン, ラ;orchid, Holland
迅;ジン;swift, fast
肖;あやか.る, ショウ;resemblance
鉢;ハチ, ハツ;bowl, rice tub, pot, crown
朽;く.ちる, キュウ;decay, rot, remain in seclusion
殻;から, がら, カク, コク, バイ;husk, nut shell
享;う.ける, キョウ, コウ;receive, undergo, answer (phone), take, get, catch
秦;はた, シン;Manchu dynasty, name given to naturalized foreigners
茅;かや, ちがや, ボウ, ミョウ;miscanthus reed
藩;ハン;clan, enclosure
沙;すな, よなげる, サ, シャ;sand
輔;たす.ける, ホ, フ;help
媒;なこうど, バイ;mediator, go-between
鶏;にわとり, とり, ケイ;chicken
禅;しずか, ゆず.る, ゼン, セン;Zen, silent meditation
嘱;しょく.する, たの.む, ショク;entrust, request, send a message
胴;ドウ;trunk, torso, hull (ship), hub of wheel
迭;テツ;transfer, alternation
挿;さ.す, はさ.む, ソウ;insert, put in, graft, wear (sword)
嵐;あらし, ラン;storm, tempest
椎;つち, う.つ, ツイ, スイ;oak, mallet
絹;きぬ, ケン;silk
陪;バイ;obeisance, follow, accompany, attend on
剖;ボウ;divide
譜;フ;musical score, music, note, staff, table, genealogy
郁;イク;cultural progress, perfume
悠;ユウ;permanence, distant, long time, leisure
淑;しと.やか, シュク;graceful, gentle, pure
帆;ほ, ハン;sail
暁;あかつき, さと.る, ギョウ, キョウ;daybreak, dawn, in the event
傑;すぐ.れる, ケツ;greatness, excellence
楠;くす, くすのき, ナン, ダン, ゼン, ネン;camphor tree
笛;ふえ, テキ;flute, clarinet, pipe, whistle, bagpipe, piccolo
玲;レイ;sound of jewels
奴;やつ, やっこ, ド;guy, slave, manservant, fellow
錠;ジョウ;lock, fetters, shackles
拳;こぶし, ケン, ゲン;fist
翔;かけ.る, と.ぶ, ショウ;soar, fly
遷;うつ.る, うつ.す, みやこがえ, セン;transition, move, change
拙;つたな.い, セツ;bungling, clumsy, unskillful
侍;さむらい, はべ.る, ジ, シ;waiter, samurai, wait upon, serve
尺;シャク;shaku, Japanese foot, measure, scale, rule
峠;とうげ;mountain peak, mountain pass, climax, crest, (kokuji)
篤;あつ.い, トク;fervent, kind, cordial, serious, deliberate
肇;はじ.める, はじめ, チョウ, ジョウ, トウ;beginning
渇;かわ.く, カツ;thirst, dry up, parch
叔;シュク;uncle, youth
雌;め-, めす, めん, シ;feminine, female
亨;たてまつ.る, コウ, キョウ, ホウ;undergo, answer (phone), take, get, catch
堪;た.える, たま.る, こ.らえる, こた.える, カン, タン;withstand, endure, support, resist
叙;つい.ず, ついで, ジョ;confer, relate, narrate, describe
酢;す, サク;vinegar, sour, acid, tart
吟;ギン;versify, singing, recital
逓;かわ.る, たがいに, テイ;relay, in turn, sending
嶺;レイ, リョウ;peak, summit
甚;はなは.だ, はなは.だしい, ジン;tremendously, very, great, exceedingly
喬;たか.い, キョウ;high, boasting
崇;あが.める, スウ;adore, respect, revere, worship
漆;うるし, シツ;lacquer, varnish, seven
岬;みさき, コウ;headland, cape, spit, promontory
癖;くせ, くせ.に, ヘキ;mannerism, habit, vice, trait, fault, kink
愉;たの.しい, たの.しむ, ユ;pleasure, happy, rejoice
寅;とら, イン;sign of the tiger, 3-5AM, third sign of Chinese zodiac
礁;ショウ;reef, sunken rock
乃;の, すなわ.ち, なんじ, ナイ, ダイ, ノ, アイ;from, possessive particle, whereupon, accordingly
洲;しま, シュウ, ス;continent, sandbar, island, country
屯;トン;barracks, police station, camp
樺;かば, かんば, カ;birch
槙;まき, こずえ, テン, シン;twig, ornamental evergreen
姻;イン;matrimony, marry
巌;いわ, いわお, けわ.しい, ガン;rock, crag, boulder
擬;まが.い, もど.き, ギ;mimic, aim (a gun) at, nominate, imitate
塀;ヘイ, ベイ;fence, wall, (kokuji)
唇;くちびる, シン;lips
睦;むつ.まじい, むつ.む, むつ.ぶ, ボク, モク;intimate, friendly, harmonious
閑;カン;leisure
胡;なんぞ, ウ, コ, ゴ;barbarian, foreign
幽;ふか.い, かす.か, くら.い, しろ.い, ユウ, ヨウ;seclude, confine to a room, deep, profound, secluded, faint, dark, tranquil, calm
峻;けわ.しい, たか.い, シュン;high, steep
曹;つかさ, ともがら, へや, ソウ, ゾウ;cadet, friend
詠;よ.む, うた.う, エイ;recitation, poem, song, composing
卑;いや.しい, いや.しむ, いや.しめる, ヒ;lowly, base, vile, vulgar
侮;あなど.る, あなず.る, ブ;scorn, despise, make light of, contempt
鋳;い.る, チュウ, イ, シュ, シュウ;casting, mint
抹;マツ;rub, paint, erase
尉;イ, ジョウ;military officer, jailer, old man, rank
槻;つき, キ;Zelkova tree
隷;したが.う, しもべ, レイ;slave, servant, prisoner, criminal, follower
禍;わざわい, カ;calamity, misfortune, evil, curse
蝶;チョウ;butterfly
酪;ラク;dairy products, whey, broth, fruit juice
茎;くき, ケイ, キョウ;stalk, stem
帥;スイ;commander, leading troops, governor
逝;ゆ.く, い.く, セイ;departed, die
汽;キ;vapor, steam
琢;みが.く, タク;polish
匿;かくま.う, トク;hide, shelter, shield
襟;えり, キン;collar, neck, lapel
蛍;ほたる, ケイ;lightning-bug, firefly
蕉;ショウ;banana
寡;カ;widow, minority, few
琉;リュウ, ル;precious stone, gem, lapis lazuli
痢;リ;diarrhea
庸;ヨウ;commonplace, ordinary, employment
朋;とも, ホウ;companion, friend
坑;コウ;pit, hole
藍;あい, ラン;indigo
賊;ゾク;burglar, rebel, traitor, robber
搾;しぼ.る, サク;squeeze
畔;あぜ, くろ, ほとり, ハン;paddy ridge, levee
遼;リョウ;distant
唄;うた, うた.う, バイ;songs with samisen
孔;あな, コウ;cavity, hole, slit, very, great, exceedingly
橘;たちばな, キツ;mandarin orange
漱;くちすす.ぐ, くちそそ.ぐ, うがい, すす.ぐ, ソウ, シュウ, ス;gargle, rinse mouth
呂;せぼね, ロ, リョ;spine, backbone
拷;ゴウ;torture, beat
嬢;むすめ, ジョウ;lass, girl, Miss, daughter
苑;その, う.つ, エン, オン;garden, farm, park
巽;たつみ, ソン;southeast
杜;もり, ふさ.ぐ, やまなし, ト, トウ, ズ;woods, grove
渓;たに, たにがわ, ケイ;mountain stream, valley
翁;おきな, オウ;venerable old man
廉;レン;bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful
