派;ハ;faction, group, party, clique, sect, school
策;サク;scheme, plan, policy, step, means
提;さ.げる, テイ, チョウ, ダイ;propose, take along, carry in hand
挙;あ.げる, あ.がる, こぞ.る, キョ;raise, plan, project, behavior, actions
企;くわだ.てる, たくら.む, キ;undertake, scheme, design, attempt, plan
藤;ふじ, トウ, ドウ;wisteria
沢;さわ, うるお.い, うるお.す, つや, タク;swamp
裁;た.つ, さば.く, サイ;tailor, judge, decision, cut out (pattern)
証;あかし, ショウ;evidence, proof, certificate
援;エン;abet, help, save
施;ほどこ.す, シ, セ;alms, apply bandages, administer first-aid
護;まも.る, ゴ;safeguard, protect
態;わざ.と, タイ;attitude, condition, figure, appearance, voice (of verbs)
鮮;あざ.やか, セン;fresh, vivid, clear, brilliant, Korea
視;み.る, シ;inspection, regard as, see, look at
幹;みき, カン;tree trunk
宮;みや, キュウ, グウ, ク, クウ;Shinto shrine, constellations, palace, princess
衛;エイ, エ;defense, protection
監;カン;oversee, official, govt office, rule, administer
審;つまび.らか, つぶさ.に, シン;hearing, judge, trial
義;ギ;righteousness, justice, morality, honor, loyalty, meaning
訴;うった.える, ソ;accusation, sue, complain of pain, appeal to
株;かぶ, シュ;stocks, stump, shares, stock, counter for small plants
姿;すがた, シ;figure, form, shape
閣;カク;tower, tall building, palace
衆;おお.い, シュウ, シュ;masses, great numbers, multitude, populace
松;まつ, ショウ;pine tree
撃;う.つ, ゲキ;beat, attack, defeat, conquer
佐;サ;assistant, help
核;カク;nucleus, core, kernel
融;と.ける, と.かす, ユウ;dissolve, melt
票;ヒョウ;ballot, label, ticket, sign
渉;わた.る, ショウ;ford, ferry, port
響;ひび.く, キョウ;echo, sound, resound, ring, vibrate
推;お.す, スイ;conjecture, infer, guess, suppose, support
請;こ.う, う.ける, セイ, シン, ショウ;solicit, invite, ask
士;シ;gentleman, samurai, samurai radical (no. 33)
討;う.つ, トウ;chastise, attack, defeat, destroy, conquer
崎;さき, さい, みさき, キ;promontory, cape, spit
督;トク;coach, command, urge, lead, supervise
催;もよう.す, もよお.す, サイ;sponsor, hold (a meeting), give (a dinner)
及;およ.ぶ, およ.び, および, およ.ぼす, キュウ;reach out, exert, exercise, cause
憲;ケン;constitution, law
離;はな.れる, はな.す, リ;detach, separation, disjoin, digress
激;はげ.しい, ゲキ;violent, get excited, enraged, chafe, incite
摘;つ.む, テキ;pinch, pick, pluck, trim, clip, summarize
系;ケイ;lineage, system
郎;おとこ, ロウ, リョウ;son, counter for sons
盟;メイ;alliance, oath
従;したが.う, したが.える, より, ジュウ, ショウ, ジュ;accompany, obey, submit to, comply, follow, secondary, incidental, subordinate
隊;タイ;regiment, party, company, squad
織;お.る, お.り, おり, -おり, -お.り, ショク, シキ;weave, fabric
振;ふ.る, ぶ.る, ふ.り, -ぶ.り, ふ.るう, シン;shake, wave, wag, swing
弁;わきま.える, わ.ける, はなびら, あらそ.う, ベン, ヘン;valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish
就;つ.く, つ.ける, シュウ, ジュ;concerning, settle, take position, depart, study, per
献;たてまつ.る, ケン, コン;offering, counter for drinks, present, offer
厳;おごそ.か, きび.しい, いか.めしい, いつくし, ゲン, ゴン;stern, strictness, severity, rigidity
維;イ;fiber, tie, rope
浜;はま, ヒン;seacoast, beach, seashore
塁;とりで, ルイ, ライ, スイ;bases, fort, rampart, walls, base(ball)
邦;くに, ホウ;home country, country, Japan
素;もと, ソ, ス;elementary, principle, naked, uncovered
遣;つか.う, -つか.い, -づか.い, つか.わす, や.る, ケン;dispatch, despatch, send, give, donate, do, undertake
抗;あらが.う, コウ;confront, resist, defy, oppose
模;モ, ボ;imitation, copy, mock
雄;お-, おす, おん, ユウ;masculine, male, hero, leader, superiority, excellence
益;ま.す, エキ, ヤク;benefit, gain, profit, advantage
緊;し.める, し.まる, キン;tense, solid, hard, reliable, tight
宣;のたま.う, セン;proclaim, say, announce
昭;ショウ;shining, bright
廃;すた.れる, すた.る, ハイ;abolish, obsolete, cessation, discarding, abandon
伊;かれ, イ;Italy, that one
江;え, コウ;creek, inlet, bay
僚;リョウ;colleague, official, companion
吉;よし, キチ, キツ;good luck, joy, congratulations
盛;も.る, さか.る, さか.ん, セイ, ジョウ;boom, prosper, copulate
皇;コウ, オウ;emperor
臨;のぞ.む, リン;look to, face, meet, confront, attend, call on
踏;ふ.む, ふ.まえる, トウ;step, trample, carry through, appraise, evade payment
壊;こわ.す, こわ.れる, やぶ.る, カイ, エ;demolition, break, destroy
債;サイ;bond, loan, debt
興;おこ.る, おこ.す, コウ, キョウ;entertain, revive, retrieve, interest, pleasure
源;みなもと, ゲン;source, origin
創;つく.る, はじ.める, きず, けず.しける, ソウ, ショウ;genesis, wound, injury, hurt, start, originate
障;さわ.る, ショウ;hinder, hurt, harm
継;つ.ぐ, まま-, ケイ;inherit, succeed, patch, graft (tree)
筋;すじ, キン;muscle, sinew, tendon, fiber, plot, plan, descent
闘;たたか.う, あらそ.う, トウ;fight, war
葬;ほうむ.る, ソウ;interment, bury, shelve
避;さ.ける, よ.ける, ヒ;evade, avoid, avert, ward off, shirk, shun
逮;タイ;apprehend, chase
迫;せま.る, ハク;urge, force, imminent, spur on
惑;まど.う, ワク;beguile, delusion, perplexity
崩;くず.れる, -くず.れ, くず.す, ホウ;crumble, die, demolish, level
紀;キ;chronicle, account, narrative, history, annals, geologic period
聴;き.く, ゆる.す, チョウ, テイ;listen, headstrong, naughty, careful inquiry
博;ハク, バク;Dr., command, esteem, win acclaim, Ph.D., exposition, fair
締;し.まる, し.まり, し.める, -し.め, -じ.め, テイ;tighten, tie, shut, lock, fasten
執;と.る, シツ, シュウ;tenacious, take hold, grasp, take to heart
房;ふさ, ボウ;tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room
撤;テツ;remove, withdraw, disarm, dismantle, reject, exclude
削;けず.る, はつ.る, そ.ぐ, サク;plane, sharpen, whittle, pare
密;ひそ.か, ミツ;secrecy, density (pop), minuteness, carefulness
措;お.く, ソ;set aside, give up, suspend, discontinue, lay aside, except
陣;ジン;camp, battle array, ranks, position
為;ため, な.る, な.す, す.る, たり, つく.る, なり, イ;do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of
抑;おさ.える, ヨク;repress, well, now, in the first place, push, shove, press, seal, do in spite of
幕;とばり, マク, バク;curtain, bunting, act of play
染;そ.める, -ぞ.め, -ぞめ, そ.まる, し.みる, -じ.みる, し.み, -し.める, セン;dye, color, paint, stain, print
奈;いかん, からなし, ナ, ナイ, ダイ;Nara, what?
傷;きず, いた.む, いた.める, ショウ;wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point
択;えら.ぶ, タク;choose, select, elect, prefer
秀;ひい.でる, シュウ;excel, excellence, beauty, surpass
徴;しるし, チョウ, チ;indications, sign, omen, symptom, collect, seek, refer to, question
弾;ひ.く, -ひ.き, はず.む, たま, はじ.く, はじ.ける, ただ.す, はじ.きゆみ, ダン, タン;bullet, twang, flip, snap
償;つぐな.う, ショウ;reparation, make up for, recompense, redeem
功;いさお, コウ, ク;achievement, merits, success, honor, credit
拠;よ.る, キョ, コ;foothold, based on, follow, therefore
秘;ひ.める, ひそ.か, かく.す, ヒ;secret, conceal
拒;こば.む, キョ, ゴ;repel, refuse, reject, decline
刑;ケイ;punish, penalty, sentence, punishment
塚;つか, -づか, チョウ;hillock, mound
致;いた.す, チ;doth, do, send, forward, cause, exert, incur, engage
繰;く.る, ソウ;winding, reel, spin, turn (pages), look up, refer to
尾;お, ビ;tail, end, counter for fish, lower slope of mountain
描;えが.く, か.く, ビョウ;sketch, compose, write, draw, paint
鈴;すず, レイ, リン;small bell, buzzer
盤;バン;tray, shallow bowl, platter, tub, board, phonograph record
項;うなじ, コウ;paragraph, nape of neck, clause, item, term (expression)
喪;も, ソウ;miss, mourning
伴;ともな.う, ハン, バン;consort, accompany, bring with, companion
養;やしな.う, ヨウ, リョウ;foster, bring up, rear, develop, nurture
懸;か.ける, か.かる, ケン, ケ;suspend, hang, 10%, install, depend, consult
街;まち, ガイ, カイ;boulevard, street, town
契;ちぎ.る, ケイ;pledge, promise, vow
掲;かか.げる, ケイ;put up (a notice), put up, hoist, display, hang out, publish, describe
棄;す.てる, キ;abandon, throw away, discard, resign, reject, sacrifice
邸;やしき, テイ;residence, mansion
還;かえ.る, カン;send back, return
属;さかん, つく, やから, ゾク, ショク;belong, genus, subordinate official, affiliated
慮;おもんぱく.る, おもんぱか.る, リョ;prudence, thought, concern, consider, deliberate, fear
枠;わく;frame, framework, spindle, spool, bounding-box, (kokuji)
沖;おき, おきつ, ちゅう.する, わく, チュウ;open sea, offing, rise high into sky
緩;ゆる.い, ゆる.やか, ゆる.む, ゆる.める, カン;slacken, loosen, relax, lessen, be moderate, ease
需;ジュ;demand, request, need
射;い.る, さ.す, う.つ, シャ;shoot, shine into, onto, archery
購;コウ;subscription, buy
揮;ふる.う, キ;brandish, wave, wag, swing, shake
充;あ.てる, み.たす, ジュウ;allot, fill
貢;みつ.ぐ, コウ, ク;tribute, support, finance
鹿;しか, か, ロク;deer
却;かえ.って, しりぞ.く, しりぞ.ける, キャク;instead, on the contrary, rather
端;はし, は, はた, -ばた, はな, タン;edge, origin, end, point, border, verge, cape
獲;え.る, カク;seize, get, find, earn, acquire, can, may, able to
郡;こうり, グン;county, district
併;あわ.せる, ヘイ;join, get together, unite, collective
徹;テツ;penetrate, clear, pierce, strike home, sit up (all night)
貴;たっと.い, とうと.い, たっと.ぶ, とうと.ぶ, キ;precious, value, prize, esteem, honor
衝;つ.く, ショウ;collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick
焦;こ.げる, こ.がす, こ.がれる, あせ.る, ショウ;char, hurry, impatient, irritate, burn, scorch, singe
奪;うば.う, ダツ;rob, take by force, snatch away, dispossess, plunder, usurp
災;わざわ.い, サイ;disaster, calamity, woe, curse, evil
浦;うら, ホ;bay, creek, inlet, gulf, beach, seacoast
析;セキ;chop, divide, tear, analyze
称;たた.える, とな.える, あ.げる, かな.う, はか.り, はか.る, ほめ.る, ショウ;appellation, praise, admire, name, title, fame
納;おさ.める, -おさ.める, おさ.まる, ノウ, ナッ, ナ, ナン, トウ;settlement, obtain, reap, pay, supply, store
樹;き, ジュ;timber trees, wood
挑;いど.む, チョウ;challenge, contend for, make love to
誘;さそ.う, いざな.う, ユウ, イウ;entice, lead, tempt, invite, ask, call for, seduce, allure
紛;まぎ.れる, -まぎ.れ, まぎ.らす, まぎ.らわす, まぎ.らわしい, フン;distract, be mistaken for, go astray, divert
至;いた.る, シ;climax, arrive, proceed, reach, attain, result in
宗;むね, シュウ, ソウ;religion, sect, denomination, main point, origin, essence
